Estado,IBGE-Code,Município,PET_01,PET_02,PET_03,PET_04,PET_05,PET_06,PET_07,PET_08,PET_09,PET_10,PET_11,PET_12,PR_01,PR_02,PR_03,PR_04,PR_05,PR_06,PR_07,PR_08,PR_09,PR_10,PR_11,PR_12,latitude,longitude
PR,4117297,Novo Itacolomi,"121,55","105,62","111,01","87,51","67,06","53,40","60,41","83,26","92,15","110,65","121,56","130,30","215,70","167,17","119,03","86,37","106,33","100,17","83,30","58,73","96,40","174,77","119,73","176,37",-23.780913207256614,-51.53276245279304
PR,4117305,Ortigueira,"119,26","102,11","104,99","84,36","63,12","51,37","58,14","80,17","90,03","107,81","120,05","128,19","204,37","160,90","113,67","93,53","98,70","114,57","92,00","71,63","113,20","169,27","127,73","155,33",-24.13507778353465,-50.94695521921276
PR,4117404,Ourizona,"120,85","109,29","104,82","88,59","65,02","50,12","59,04","80,36","91,78","109,70","117,09","129,41","173,87","147,60","100,77","83,00","105,00","84,30","64,37","49,83","84,43","162,83","114,80","137,27",-23.4596953939558,-52.23131271839079
PR,4117453,Ouro Verde do Oeste,"136,77","119,42","115,40","92,14","66,07","54,85","64,44","89,50","99,79","119,15","133,41","148,96","167,90","160,60","120,13","122,07","125,30","121,73","102,47","64,07","114,30","225,40","111,00","176,87",-24.79387381969931,-53.909591213261024
PR,4117503,Paiçandu,"118,14","104,93","103,89","87,09","63,26","48,23","57,23","76,76","88,46","108,14","114,53","129,16","175,37","144,80","103,13","82,57","102,83","82,47","60,43","46,00","80,80","157,63","107,73","139,23",-23.465033170630367,-52.12208901370154
PR,4117602,Palmas,"119,33","98,79","97,49","73,74","54,40","45,81","49,98","72,78","79,74","98,93","117,08","128,46","180,03","142,17","139,60","140,07","133,80","160,13","104,50","114,50","178,07","210,57","121,43","161,23",-26.4510862221312,-51.81446535042026
PR,4117701,Palmeira,"112,85","95,99","96,53","73,77","53,49","43,54","49,12","70,59","78,83","95,98","108,61","119,32","186,93","227,37","124,73","95,10","84,70","113,67","84,27","75,23","120,43","163,83","117,87","142,83",-25.442638415057505,-50.057822867629135
PR,4117800,Palmital,"124,30","108,04","107,54","84,51","61,45","50,07","56,80","79,55","90,31","109,37","123,39","132,24","223,93","166,60","124,70","101,73","117,10","144,37","116,03","79,93","137,63","210,93","96,37","197,43",-24.875742530977032,-52.265670960398246
PR,4117909,Palotina,"138,68","122,70","119,00","94,56","69,07","56,95","66,79","93,35","105,01","124,99","136,78","148,23","165,03","158,47","106,07","93,20","139,23","125,87","84,57","58,83","126,30","187,47","102,13","166,43",-24.27454182943542,-53.824093208520814
PR,4118006,Paraíso do Norte,"128,50","114,10","114,20","92,89","70,71","57,53","66,74","90,14","101,33","117,82","130,31","136,36","170,03","147,40","82,13","81,37","107,80","91,60","65,33","48,00","82,27","164,33","126,23","119,57",-23.268034061509223,-52.63542055947994
