IBGE-Code,Município,UF,CAD ou AWC (m³/m³),DTA (mm/m)
2903276,Barrocas,BA,"0,083","82,7"
2903300,Barro Preto,BA,"0,115","115,2"
2903409,Belmonte,BA,"0,099","98,9"
2903508,Belo Campo,BA,"0,087","87,3"
2903607,Biritinga,BA,"0,081","81,4"
2903706,Boa Nova,BA,"0,106","106,4"
2903805,Boa Vista do Tupim,BA,"0,082","81,7"
2903904,Bom Jesus da Lapa,BA,"0,095","95,3"
2903953,Bom Jesus da Serra,BA,"0,108","108,0"
2904001,Boninal,BA,"0,129","129,2"
2904050,Bonito,BA,"0,129","129,4"
2904100,Boquira,BA,"0,138","137,8"
2904209,Botuporã,BA,"0,118","117,8"
2904308,Brejões,BA,"0,110","110,2"
2904407,Brejolândia,BA,"0,102","102,1"
2904506,Brotas de Macaúbas,BA,"0,128","128,1"
2904605,Brumado,BA,"0,099","98,6"
2904704,Buerarema,BA,"0,114","113,8"
2904753,Buritirama,BA,"0,085","85,1"
2904803,Caatiba,BA,"0,094","93,9"
2904852,Cabaceiras do Paraguaçu,BA,"0,089","89,5"
2904902,Cachoeira,BA,"0,094","93,7"
2905008,Caculé,BA,"0,117","117,0"
2905107,Caém,BA,"0,072","71,9"
2905156,Caetanos,BA,"0,104","104,1"
2905206,Caetité,BA,"0,125","124,6"
2905305,Cafarnaum,BA,"0,128","127,8"
2905404,Cairu,BA,"0,073","73,1"
2905503,Caldeirão Grande,BA,"0,066","65,7"
2905602,Camacan,BA,"0,113","113,4"
2905701,Camaçari,BA,"0,080","80,2"
2905800,Camamu,BA,"0,111","111,0"
2905909,Campo Alegre de Lourdes,BA,"0,093","93,1"
2906006,Campo Formoso,BA,"0,105","105,2"
2906105,Canápolis,BA,"0,101","100,6"
2906204,Canarana,BA,"0,132","132,3"
2906303,Canavieiras,BA,"0,094","93,9"
2906402,Candeal,BA,"0,090","90,1"
2906501,Candeias,BA,"0,057","57,3"
2906600,Candiba,BA,"0,106","106,4"
2906709,Cândido Sales,BA,"0,111","110,8"
2906808,Cansanção,BA,"0,086","85,9"
2906824,Canudos,BA,"0,083","82,7"
2906857,Capela do Alto Alegre,BA,"0,090","89,6"
2906873,Capim Grosso,BA,"0,067","66,6"
2906899,Caraíbas,BA,"0,090","89,8"
2906907,Caravelas,BA,"0,062","61,8"
2907004,Cardeal da Silva,BA,"0,095","94,9"
2907103,Carinhanha,BA,"0,126","126,0"
2907202,Casa Nova,BA,"0,072","72,3"
2907301,Castro Alves,BA,"0,122","122,0"
2907400,Catolândia,BA,"0,087","87,1"
2907509,Catu,BA,"0,064","63,6"
2907558,Caturama,BA,"0,106","105,8"
2907608,Central,BA,"0,136","135,7"
2907707,Chorrochó,BA,"0,106","105,6"
2907806,Cícero Dantas,BA,"0,093","93,2"
2907905,Cipó,BA,"0,077","77,2"
2908002,Coaraci,BA,"0,115","114,9"
2908101,Cocos,BA,"0,084","84,5"
2908200,Conceição da Feira,BA,"0,073","72,9"
2908309,Conceição do Almeida,BA,"0,119","119,4"
2908408,Conceição do Coité,BA,"0,082","81,6"
2908507,Conceição do Jacuípe,BA,"0,069","68,7"
2908606,Conde,BA,"0,096","95,8"
2908705,Condeúba,BA,"0,100","100,4"
2908804,Contendas do Sincorá,BA,"0,098","98,0"
2908903,Coração de Maria,BA,"0,076","75,7"
2909000,Cordeiros,BA,"0,091","91,3"
2909109,Coribe,BA,"0,111","111,4"
2909208,Coronel João Sá,BA,"0,134","133,5"
2909307,Correntina,BA,"0,078","77,7"
2909406,Cotegipe,BA,"0,079","79,0"
2909505,Cravolândia,BA,"0,088","88,2"
2909604,Crisópolis,BA,"0,099","99,3"
2909703,Cristópolis,BA,"0,091","90,7"
2909802,Cruz das Almas,BA,"0,095","95,1"
2909901,Curaçá,BA,"0,102","101,6"
2910008,Dário Meira,BA,"0,115","115,4"
2910057,Dias d'Ávila,BA,"0,061","61,2"
2910107,Dom Basílio,BA,"0,108","108,1"
2910206,Dom Macedo Costa,BA,"0,131","130,6"
2910305,Elísio Medrado,BA,"0,081","81,4"
2910404,Encruzilhada,BA,"0,159","159,1"
2910503,Entre Rios,BA,"0,096","95,7"
2910602,Esplanada,BA,"0,094","94,4"
2910701,Euclides da Cunha,BA,"0,094","94,3"
2910727,Eunápolis,BA,"0,110","109,7"
2910750,Fátima,BA,"0,097","96,8"
2910776,Feira da Mata,BA,"0,098","97,6"
2910800,Feira de Santana,BA,"0,081","81,2"
2910859,Filadélfia,BA,"0,088","87,9"
2910909,Firmino Alves,BA,"0,120","120,5"
2911006,Floresta Azul,BA,"0,120","119,8"
2911105,Formosa do Rio Preto,BA,"0,102","102,1"
2911204,Gandu,BA,"0,112","112,0"
2911253,Gavião,BA,"0,089","88,6"
