Estado,IBGE-Code,Município,PET_01,PET_02,PET_03,PET_04,PET_05,PET_06,PET_07,PET_08,PET_09,PET_10,PET_11,PET_12,PR_01,PR_02,PR_03,PR_04,PR_05,PR_06,PR_07,PR_08,PR_09,PR_10,PR_11,PR_12,latitude,longitude
RO,1100015,Alta Floresta D'Oeste,83.90666666666668,79.57333333333334,86.81,90.46333333333334,88.58,91.95666666666668,113.70666666666666,132.89333333333337,123.05,119.88333333333333,98.52333333333334,91.56666666666666,258.56666666666666,247.7333333333333,241.9,109.73333333333332,58.43333333333333,19.6,6.066666666666666,18.6,62.96666666666667,140.1,169.86666666666667,210.13333333333333,-12.48658244926135,-62.28918180084762
RO,1100023,Ariquemes,81.42000000000002,72.69,81.35666666666668,77.56,87.69333333333333,91.33333333333334,109.52,119.56,110.55333333333334,107.53,98.23666666666668,85.01333333333334,317.4,352.2,316.06666666666666,189.4,112.4,17.333333333333332,6.533333333333333,21.53333333333333,98.33333333333331,175.76666666666668,262.4,290.0,-9.935367042361907,-62.97190141677846
RO,1100031,Cabixi,96.20333333333332,85.42333333333335,92.01,96.24333333333334,92.83333333333334,93.60666666666668,117.29666666666668,136.95333333333335,128.96,130.07666666666668,115.48333333333332,103.32666666666668,290.1333333333333,253.3,232.16666666666663,138.13333333333333,55.96666666666667,20.633333333333333,10.6,15.566666666666666,54.53333333333333,142.43333333333334,172.53333333333333,233.96666666666667,-13.492695567475211,-60.6362816780677
RO,1100049,Cacoal,83.57000000000001,74.9,84.66333333333334,82.02000000000001,89.56,91.54666666666668,112.54000000000002,130.34666666666666,113.59666666666668,114.89,102.12333333333332,86.23333333333335,387.73333333333335,333.2,278.6333333333333,154.53333333333333,59.766666666666666,17.233333333333334,8.1,19.166666666666668,78.9,138.96666666666667,226.46666666666667,262.3,-11.30080627422358,-61.31900129399854
RO,1100056,Cerejeiras,93.05,84.71000000000001,90.38,94.51333333333334,90.85,93.83666666666667,116.54666666666668,136.54333333333335,127.04000000000002,127.50666666666666,113.23666666666666,100.15666666666668,282.26666666666665,247.33333333333331,230.16666666666663,117.23333333333332,54.2,19.166666666666668,8.766666666666667,16.033333333333335,52.06666666666667,146.9,162.03333333333333,192.2333333333333,-13.205234676556966,-61.247136071268976
RO,1100064,Colorado do Oeste,92.24,82.94666666666667,88.52333333333334,93.39333333333332,91.05333333333334,92.85333333333334,115.87,134.51,125.41333333333336,125.55666666666669,108.81666666666668,98.61666666666667,294.26666666666665,267.1333333333333,245.2333333333333,145.13333333333333,57.3,19.03333333333333,9.4,18.6,59.3,152.73333333333332,176.03333333333333,230.63333333333333,-13.169302065192186,-60.56441645533814
RO,1100072,Corumbiara,91.57,82.30666666666667,88.91666666666667,92.39,91.44666666666669,92.49,116.39,135.31333333333336,124.57666666666668,124.06666666666668,107.04666666666668,97.25666666666667,281.76666666666665,256.56666666666666,239.1,121.7,52.66666666666666,16.5,7.6,17.633333333333333,52.46666666666667,156.23333333333332,158.46666666666667,170.76666666666668,-12.91777378563872,-61.103405625809856
RO,1100080,Costa Marques,85.62666666666667,79.66000000000001,87.04666666666668,87.01666666666667,90.15333333333334,93.03333333333336,110.93333333333334,130.88333333333333,127.55333333333334,120.42000000000002,107.50666666666666,92.47,258.46666666666664,266.03333333333336,237.76666666666668,134.46666666666667,82.43333333333334,18.133333333333333,10.433333333333334,26.6,79.5,139.83333333333334,161.96666666666667,216.33333333333331,-12.16318894697832,-64.04987975772188
RO,1100098,Espigão D'Oeste,83.59,73.55333333333333,82.88666666666667,82.31666666666666,89.19,93.20666666666668,114.60666666666668,130.39333333333337,113.51,113.34333333333336,101.12333333333332,85.87666666666667,335.8666666666667,324.93333333333334,264.0,164.36666666666667,59.66666666666666,14.966666666666669,6.2,20.7,67.73333333333333,149.5,209.1,243.2333333333333,-11.336738885588362,-60.78001212352683
RO,1100106,Guajará-Mirim,82.13666666666667,78.38,84.92000000000002,82.69666666666667,89.67333333333335,93.04333333333334,110.41666666666669,129.43666666666667,124.42333333333336,121.65666666666668,96.12333333333332,87.92333333333335,265.1333333333333,284.9,248.83333333333331,155.7,120.43333333333334,18.966666666666665,8.7,25.133333333333333,82.86666666666666,151.33333333333334,161.7,230.03333333333333,-11.30080627422358,-64.55293631682882
RO,1100114,Jaru,81.77333333333334,72.04,81.76333333333334,77.80333333333334,86.92666666666668,90.06,111.20333333333332,122.76333333333336,109.85,110.32666666666668,98.42000000000002,84.18,314.8666666666667,326.4,299.26666666666665,168.96666666666667,93.96666666666668,17.866666666666667,7.366666666666666,24.73333333333333,87.56666666666666,152.43333333333334,227.6,259.5,-10.582154046927965,-62.57664269176587
RO,1100122,Ji-Paraná,79.46000000000001,73.2,81.07666666666667,79.81333333333333,88.33,91.43666666666668,112.6,128.70666666666668,110.24333333333334,108.12666666666668,92.28333333333336,81.91666666666667,354.8,331.3,305.53333333333336,181.2,71.7,24.23333333333333,11.166666666666666,13.3,73.06666666666666,152.23333333333332,256.7333333333333,251.63333333333333,-10.47435621283362,-61.75019263037591
RO,1100130,Machadinho D'Oeste,79.74666666666667,71.37333333333333,78.88666666666667,75.84,88.51,92.91,112.49666666666668,125.35333333333334,109.84666666666668,106.73,96.44666666666669,80.69666666666667,336.3333333333333,337.93333333333334,323.2333333333333,212.03333333333333,106.83333333333331,29.7,17.866666666666667,29.2,95.8,187.33333333333331,258.3666666666667,317.3666666666667,-9.216714815066291,-62.001720909929375
